الوحدة / Unité,المعرّف / Identifiant,بالحرف اللاتيني / Latin,بالحرف العربي / Graphie arabe,تيفيناغ / Tifinagh,المعنى بالإنجليزية / Sens (anglais),المعنى بالفرنسية / Sens (français),المعنى بالعربية / Sens (arabe),نوع الكلمة / Nature du mot,المنطقة / Région,"درجة الثقة / Confiance (high, medium, low)",لماذا (بالفرنسية) / Pourquoi,لماذا / Pourquoi (arabe),صيغ أخرى معروفة / Variantes connues,أول درس / Première leçon,صحيح؟ / Correct ?,التصحيح / Correction,المراجِع / Relecteur,القرية / Village
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000007,timessi,تيمسي,ⵜⵉⵎⴻⵙⵙⵉ,fire,feu,نار,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000010,qqim,قيم,ⵇⵇⵉⵎ,sit down!,assieds-toi !,اجلس,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000016,abernus,أبرنوس,ⴰⴱⴻⵔⵏⵓⵙ,burnous (wool cloak),burnous,برنس,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000018,abrid,أبريد,ⴰⴱⵔⵉⴷ,"road, path","chemin, route",طريق,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000019,tamdint,تامدينت,ⵜⴰⵎⴷⵉⵏⵜ,"town, city",ville,مدينة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000020,tamurt,تامورت,ⵜⴰⵎⵓⵔⵜ,"land, country","pays, terre",بلد، أرض,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000021,tamezgida,تامزڨيدا,ⵜⴰⵎⴻⵣⴳⵉⴷⴰ,mosque,mosquée,مسجد,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000024,azeṭṭa,أزطا,ⴰⵣⴻⵟⵟⴰ,loom; weaving,métier à tisser ; tissage,منسج؛ نسيج,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000025,kker,كر,ⴽⴽⴻⵔ,get up!,lève-toi !,انهض,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000026,ṭṭes,طس,ⵟⵟⴻⵙ,sleep!,dors !,نَمْ,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000030,ffeɣ,فغ,ⴼⴼⴻⵖ,go out!,sors !,اخرج,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Ma journée / يومي,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000002,tala,تالا,ⵜⴰⵍⴰ,spring (of water),source,عين، نبع,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot panamazigh, fréquent dans les noms de lieux.",كلمة أمازيغية مشتركة، كثيرة في أسماء الأماكن.,,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000003,aẓru,أزرو,ⴰⵥⵔⵓ,"stone, rock","pierre, rocher",حجر، صخرة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000004,akal,أكال,ⴰⴽⴰⵍ,"earth, soil",terre,تراب، أرض,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000006,tazdayt,تازدايت,ⵜⴰⵣⴷⴰⵢⵜ,palm tree,palmier,نخلة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000008,ayyur,أيور,ⴰⵢⵢⵓⵔ,moon; month,lune ; mois,قمر؛ شهر,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000009,itran,إتران,ⵉⵜⵔⴰⵏ,stars,étoiles,نجوم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000011,adfel,أدفل,ⴰⴷⴼⴻⵍ,snow,neige,ثلج,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000012,aḍu,أضو,ⴰⴹⵓ,wind,vent,ريح,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000014,adrar n Celya,أدرار ن شيليا,ⴰⴷⵔⴰⵔ ⵏ ⵛⴻⵍⵢⴰ,Mount Chélia,le mont Chélia,جبل شيليا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,Plus haut sommet des Aurès ; la forme locale du nom est à confirmer.,أعلى قمة في الأوراس؛ يجب تأكيد الصيغة المحلية للاسم.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000018,tafsut,تافسوت,ⵜⴰⴼⵙⵓⵜ,spring (season),printemps,ربيع,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000019,anebdu,أنبدو,ⴰⵏⴻⴱⴷⵓ,summer,été,صيف,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000020,tagrest,تاڨرست,ⵜⴰⴳⵔⴻⵙⵜ,winter,hiver,شتاء,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,tayrest (prononciation),3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000021,amellal,أملال,ⴰⵎⴻⵍⵍⴰⵍ,white,blanc,أبيض,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000022,azeggaɣ,أزڨاغ,ⴰⵣⴻⴳⴳⴰⵖ,red,rouge,أحمر,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000023,ayis,أيس,ⴰⵢⵉⵙ,horse,cheval,حصان,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000024,ayis amellal,أيس أملال,ⴰⵢⵉⵙ ⴰⵎⴻⵍⵍⴰⵍ,a white horse,un cheval blanc,حصان أبيض,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Construction simple et régulière (nom + n + nom, ou particule d) ; les mots sont sûrs.",تركيب بسيط ومنتظم (اسم + n + اسم، أو الأداة d)؛ الكلمات موثوقة.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000025,aydi,أيدي,ⴰⵢⴷⵉ,dog,chien,كلب,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000026,aɣyul,أغيول,ⴰⵖⵢⵓⵍ,donkey,âne,حمار,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,3. Saisons et couleurs / الفصول والألوان,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000027,taɣaṭ,تاغاط,ⵜⴰⵖⴰⵟ,goat,chèvre,عنزة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000028,ulli,أولي,ⵓⵍⵍⵉ,sheep (the flock),"moutons, brebis",غنم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000029,izimer,إزيمر,ⵉⵣⵉⵎⴻⵔ,lamb,agneau,حَمَل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000030,tafunast,تافوناست,ⵜⴰⴼⵓⵏⴰⵙⵜ,cow,vache,بقرة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000031,tayaziṭ,تايازيط,ⵜⴰⵢⴰⵣⵉⵟ,hen,poule,دجاجة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000032,ayaziḍ,أيازيض,ⴰⵢⴰⵣⵉⴹ,rooster,coq,ديك,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000033,alɣem,ألغم,ⴰⵍⵖⴻⵎ,camel,chameau,جمل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000034,uccen,أوشن,ⵓⵛⵛⴻⵏ,jackal,chacal,ابن آوى,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),medium,"Mot amazigh commun ; usage en chaoui très probable, mais pas encore vérifié avec un locuteur.",كلمة أمازيغية مشتركة؛ استعمالها في الشاوية مرجَّح جدًا لكن لم يُتحقَّق منه بعد مع متحدث.,,4. Les animaux des Aurès / حيوانات الأوراس,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000017,isem,إسم,ⵉⵙⴻⵎ,name,nom,اسم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000026,tacawit,تاشاويت,ⵜⴰⵛⴰⵡⵉⵜ,"Tachawit, the Chaoui language","le tachawit, la langue chaouie",الشاوية (اللغة),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Nom de la langue, bien établi.",اسم اللغة، معروف وثابت.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000027,Awras,أوراس,ⴰⵡⵔⴰⵙ,the Aurès,les Aurès,الأوراس,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Nom propre, bien établi.",اسم علم معروف.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000001,yemma,يما,ⵢⴻⵎⵎⴰ,my mother,ma mère,أمّي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,Terme de parenté panamazigh ; « ma » est inclus dans le mot.,كلمة قرابة أمازيغية مشتركة؛ «ـي» متضمَّنة في الكلمة.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000002,baba,بابا,ⴱⴰⴱⴰ,my father,mon père,أبي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,Terme de parenté panamazigh ; « mon » est inclus dans le mot.,كلمة قرابة أمازيغية مشتركة؛ «ـي» متضمَّنة في الكلمة.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000017,argaz,أرڨاز,ⴰⵔⴳⴰⵣ,man; husband,homme ; mari,رجل؛ زوج,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,Mot panamazigh ; dans une grande partie des Aurès le g se prononce y (aryaz).,كلمة أمازيغية مشتركة؛ في كثير من الأوراس تُنطق g ياءً (aryaz).,aryaz (prononciation),3. Hommes et femmes / الرجال والنساء,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000003,sin,سين,ⵙⵉⵏ,two,deux,اثنان,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000016,ass,أس,ⴰⵙⵙ,day,jour,يوم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000026,yennayer,يناير,ⵢⴻⵏⵏⴰⵢⴻⵔ,"Yennayer, the Amazigh new year","Yennayer, le nouvel an amazigh",ينّاير، رأس السنة الأمازيغية,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Nom du nouvel an amazigh, bien établi.",اسم رأس السنة الأمازيغية، معروف وثابت.,,4. Une nouvelle année / سنة جديدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000001,aman,أمان,ⴰⵎⴰⵏ,water,eau,ماء,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000002,aɣrum,أغروم,ⴰⵖⵔⵓⵎ,bread,pain,خبز,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,1. Le pain et l'eau / الخبز والماء,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000001,adrar,أدرار,ⴰⴷⵔⴰⵔ,mountain,montagne,جبل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),high,"Mot amazigh commun, bien attesté et courant en chaoui.",كلمة أمازيغية مشتركة، موثّقة جيدًا وشائعة في الشاوية.,,1. Montagnes et sources / الجبال والعيون,,,,
